metric,fold,dual_scale,high_only,low_only,dual_minus_low,dual_minus_high,high_minus_low
test_auc,1,0.9846117424242424,0.9820075757575758,0.9384469696969696,0.04616477272727282,0.0026041666666666297,0.04356060606060619
test_auc,2,0.9534801136363636,0.958688446969697,0.8828125,0.07066761363636365,-0.00520833333333337,0.07587594696969702
test_auc,3,0.9808438124338936,0.9737924550475966,0.9591021271594782,0.021741685274415445,0.00705135738629703,0.014690327888118415
test_auc,4,0.9737532808398952,0.9558577905034598,0.9078978764018136,0.06585540443808158,0.01789549033643545,0.04795991410164613
test_auc,5,0.9634931997136722,0.9581245526127417,0.9214984490575042,0.04199475065616798,0.005368647100930546,0.03662610355523743
test_auc,mean,0.9712364298096133,0.9656941641782142,0.9219515844631531,0.04928484534646027,0.005542265631399146,0.043742579715061125
test_auc,std,0.011426107857885002,0.01034256305071449,0.026007078002830416,,,
test_acc,1,0.922680412371134,0.9381443298969072,0.9020618556701032,0.020618556701030744,-0.015463917525773252,0.036082474226803996
test_acc,2,0.9072164948453608,0.9123711340206184,0.8092783505154639,0.09793814432989689,-0.005154639175257603,0.1030927835051545
test_acc,3,0.9587628865979382,0.963917525773196,0.8865979381443299,0.07216494845360832,-0.005154639175257825,0.07731958762886615
test_acc,4,0.9430051813471504,0.9067357512953368,0.8290155440414508,0.11398963730569955,0.0362694300518136,0.07772020725388595
test_acc,5,0.911917098445596,0.932642487046632,0.8549222797927462,0.05699481865284983,-0.02072538860103601,0.07772020725388584
test_acc,mean,0.9287164147214358,0.9307622456065381,0.8563751936328188,0.07234122108861707,-0.00204583088510224,0.07438705197371931
test_acc,std,0.01943119260516849,0.020360788263349125,0.03455274052785674,,,
test_f1,1,0.9153749963649054,0.9329493087557604,0.8896770524677502,0.025697943897155184,-0.01757431239085505,0.043272256288010236
test_f1,2,0.8958855098389982,0.9053033565911506,0.7973861743867672,0.098499335452231,-0.009417846752152403,0.1079171822043834
test_f1,3,0.953726893261777,0.95966376570529,0.8736979166666667,0.08002897659511021,-0.0059368724435130416,0.08596584903862325
test_f1,4,0.9359635628751546,0.8971215351812367,0.7995467850061373,0.1364167778690173,0.03884202769391787,0.09757475017509942
test_f1,5,0.9002523333231995,0.9269216205982582,0.8322155986090412,0.06803673471415839,-0.026669287275058684,0.09470602198921707
test_f1,mean,0.920240659132807,0.9243919173663391,0.8385047054272725,0.08173595370553444,-0.004151258233532129,0.08588721193906657
test_f1,std,0.02183995750086067,0.02205347377656814,0.037696623832941166,,,
